"日期","收市","開市","高","低","成交量","更改%"
"2013年8月8日","96.40","96.00","97.10","95.30","55.87K","-0.62%"
"2013年8月7日","97.00","98.50","98.50","97.00","45.97K","-1.82%"
"2013年8月6日","98.80","100.50","100.50","98.60","42.79K","-1.69%"
"2013年8月5日","100.50","100.00","101.50","99.90","23.37K","0.00%"
"2013年8月2日","100.50","102.50","103.00","100.00","28.04K","0.00%"
"2013年8月1日","100.50","102.00","102.00","100.00","32.51K","-1.95%"
"2013年7月31日","102.50","101.50","103.00","101.00","37.00K","0.49%"
"2013年7月30日","102.00","100.50","102.50","100.50","33.87K","2.00%"
"2013年7月29日","100.00","100.00","101.50","100.00","38.33K","-2.44%"
"2013年7月26日","102.50","103.00","103.00","101.00","31.82K","0.00%"
"2013年7月25日","102.50","102.00","103.50","101.00","37.56K","0.49%"
"2013年7月24日","102.00","100.50","103.00","100.00","58.36K","2.00%"
"2013年7月23日","100.00","98.50","101.50","98.50","85.60K","3.09%"
"2013年7月22日","97.00","98.00","98.40","96.90","88.05K","-1.22%"
"2013年7月19日","98.20","99.40","99.70","98.20","123.33K","-6.92%"
"2013年7月18日","105.50","107.50","108.00","105.50","53.22K","-3.21%"
"2013年7月17日","109.00","108.00","109.00","107.00","40.12K","0.93%"
"2013年7月16日","108.00","108.50","109.00","107.00","35.96K","-1.37%"
"2013年7月15日","109.50","108.50","109.50","108.00","33.37K","-0.45%"
"2013年7月12日","110.00","109.50","110.00","108.50","31.05K","0.46%"
"2013年7月11日","109.50","107.50","109.50","107.50","56.92K","3.30%"
"2013年7月10日","106.00","104.50","107.00","104.50","22.08K","0.00%"
"2013年7月9日","106.00","104.50","106.50","103.50","35.51K","0.95%"
"2013年7月8日","105.00","107.00","108.00","104.50","32.77K","-3.67%"
"2013年7月5日","109.00","107.50","109.50","107.00","28.28K","1.87%"
"2013年7月4日","107.00","106.50","107.00","106.00","24.50K","0.00%"
"2013年7月3日","107.00","107.00","107.00","105.50","44.74K","-2.73%"
"2013年7月2日","110.00","109.00","110.00","108.50","44.98K","1.85%"
"2013年7月1日","108.00","109.00","109.50","108.00","51.94K","-2.70%"
"2013年6月28日","111.00","106.00","111.00","105.00","74.51K","6.22%"
"2013年6月27日","104.50","103.00","105.00","103.00","46.98K","2.96%"
"2013年6月26日","101.50","103.00","104.00","101.50","55.87K","0.50%"
"2013年6月25日","101.00","101.00","103.00","101.00","33.90K","0.00%"
"2013年6月24日","101.00","102.50","102.50","100.00","54.09K","-2.42%"
"2013年6月21日","103.50","102.00","103.50","101.50","39.84K","-0.48%"
"2013年6月20日","104.00","105.00","105.50","103.50","30.00K","-1.42%"
"2013年6月19日","105.50","106.00","106.50","105.00","22.08K","-0.94%"
"2013年6月18日","106.50","105.00","106.50","104.50","31.68K","0.47%"
"2013年6月17日","106.00","105.50","106.00","105.00","23.01K","0.00%"
"2013年6月14日","106.00","105.00","106.00","104.50","41.21K","1.44%"
"2013年6月13日","104.50","106.00","107.00","104.00","61.06K","-3.24%"
"2013年6月11日","108.00","110.00","110.00","108.00","37.16K","-0.46%"
"2013年6月10日","108.50","110.00","110.00","108.00","21.94K","0.00%"
"2013年6月7日","108.50","108.00","109.50","108.00","33.09K","0.93%"
"2013年6月6日","107.50","108.50","109.50","107.00","34.25K","-1.83%"
"2013年6月5日","109.50","109.50","110.50","108.50","25.58K","0.46%"
"2013年6月4日","109.00","109.00","110.00","107.50","27.48K","1.40%"
"2013年6月3日","107.50","108.00","108.50","106.50","35.83K","-1.83%"
"2013年5月31日","109.50","111.50","111.50","109.00","37.21K","-0.45%"
"2013年5月30日","110.00","111.00","111.50","109.50","36.12K","-0.90%"
"2013年5月29日","111.00","110.50","112.00","110.50","16.78K","1.37%"
"2013年5月28日","109.50","112.00","112.50","109.50","22.76K","-2.23%"
"2013年5月27日","112.00","109.50","112.00","109.50","19.16K","2.28%"
"2013年5月24日","109.50","109.50","110.50","108.50","26.74K","1.39%"
"2013年5月23日","108.00","110.50","111.50","108.00","46.87K","-3.57%"
"2013年5月22日","112.00","112.50","113.50","111.00","34.07K","-0.44%"
"2013年5月21日","112.50","113.00","113.50","112.00","17.24K","-1.32%"
"2013年5月20日","114.00","112.50","114.00","112.50","16.88K","0.44%"
"2013年5月17日","113.50","112.00","113.50","111.50","19.32K","0.00%"
"2013年5月16日","113.50","115.00","116.00","113.00","45.77K","-1.30%"
"2013年5月15日","115.00","115.00","116.00","113.50","29.11K","-0.43%"
"2013年5月14日","115.50","115.50","116.50","115.00","27.86K","0.87%"
"2013年5月13日","114.50","115.00","115.50","114.00","18.26K","0.00%"
"2013年5月10日","114.50","115.00","115.00","113.50","27.54K","-0.43%"
"2013年5月9日","115.00","116.00","116.00","114.50","27.61K","0.44%"
"2013年5月8日","114.50","112.50","115.00","112.50","42.51K","1.78%"
"2013年5月7日","112.50","112.00","113.00","111.00","22.45K","0.90%"
"2013年5月6日","111.50","111.50","111.50","110.50","19.39K","1.36%"
"2013年5月3日","110.00","111.50","112.50","110.00","36.62K","-0.45%"
"2013年5月2日","110.50","110.00","111.00","109.00","38.80K","0.91%"
"2013年4月30日","109.50","108.50","109.50","108.50","34.61K","1.39%"
"2013年4月29日","108.00","108.50","108.50","107.50","21.09K","-0.46%"
"2013年4月26日","108.50","107.00","109.00","107.00","36.78K","1.40%"
"2013年4月25日","107.00","106.00","107.00","105.50","26.29K","0.94%"
"2013年4月24日","106.00","106.50","107.00","104.50","35.50K","0.00%"
"2013年4月23日","106.00","106.50","107.50","105.50","46.15K","-2.30%"
"2013年4月22日","108.50","108.50","109.50","107.50","72.50K","1.88%"
"2013年4月19日","106.50","105.50","106.50","105.50","66.95K","6.61%"
"2013年4月18日","99.90","100.00","101.00","99.40","33.08K","-0.10%"
"2013年4月17日","100.00","101.50","101.50","99.70","35.90K","-0.50%"
"2013年4月16日","100.50","98.20","101.00","98.20","35.92K","1.11%"
"2013年4月15日","99.40","100.50","101.00","99.10","23.44K","-1.09%"
"2013年4月12日","100.50","101.50","101.50","100.00","19.57K","-0.99%"
"2013年4月11日","101.50","99.00","101.50","98.80","57.87K","3.26%"
"2013年4月10日","98.30","98.80","98.80","97.70","36.75K","0.82%"
"2013年4月9日","97.50","98.00","98.50","97.50","41.32K","-1.02%"
